size	colour	x	y	key	showSelectedlegendcolour	clickSelects	fill
3.42520250872178	#00C094	1.749	76.5736097560976	United Arab Emirates	Middle East & North Africa	United Arab Emirates	#00C094
4.6156602650049	#A58AFF	6.288	48.2821951219512	Afghanistan	South Asia	Afghanistan	#A58AFF
2.86931428954884	#C49A00	1.536	76.9009512195122	Albania	Europe & Central Asia	Albania	#C49A00
2.84303969172127	#C49A00	1.736	73.7835609756098	Armenia	Europe & Central Asia	Armenia	#C49A00
4.1699527951741	#FB61D7	5.443	50.6536585365854	Angola	Sub-Saharan Africa	Angola	#FB61D7
5.11907078183204	#53B400	2.211	75.6321463414634	Argentina	Latin America & Caribbean	Argentina	#53B400
3.42081805808322	#C49A00	1.44	80.3829268292683	Austria	Europe & Central Asia	Austria	#C49A00
4.30547639731898	#F8766D	1.87	81.6951219512195	Australia	East Asia & Pacific	Australia	#F8766D
2.14440507000068	#53B400	1.699	74.9751707317073	Aruba	Latin America & Caribbean	Aruba	#53B400
3.47611548580665	#C49A00	1.92	70.5065121951219	Azerbaijan	Europe & Central Asia	Azerbaijan	#C49A00
2.96095115333557	#C49A00	1.148	75.4004390243903	Bosnia and Herzegovina	Europe & Central Asia	Bosnia and Herzegovina	#C49A00
2.25288825518682	#53B400	1.551	76.5728292682927	Barbados	Latin America & Caribbean	Barbados	#53B400
8.03533613732212	#A58AFF	2.245	68.6348048780488	Bangladesh	South Asia	Bangladesh	#A58AFF
3.61949149795599	#C49A00	1.84	80.2341463414634	Belgium	Europe & Central Asia	Belgium	#C49A00
3.93451827813068	#FB61D7	5.85	54.9241951219512	Burkina Faso	Sub-Saharan Africa	Burkina Faso	#FB61D7
3.34629466221783	#C49A00	1.49	73.5121951219512	Bulgaria	Europe & Central Asia	Bulgaria	#C49A00
2.5459313305854	#00C094	2.54	75.0238292682927	Bahrain	Middle East & North Africa	Bahrain	#00C094
3.4906124431247	#FB61D7	4.338	49.8772195121951	Burundi	Sub-Saharan Africa	Burundi	#FB61D7
3.51284744099395	#FB61D7	5.287	55.5855853658537	Benin	Sub-Saharan Africa	Benin	#FB61D7
2.10982248277994	#00B6EB	1.764	79.2885365853658	Bermuda	North America	Bermuda	#00B6EB
2.30482826258698	#F8766D	2.042	77.9320243902439	Brunei Darussalam	East Asia & Pacific	Brunei Darussalam	#F8766D
3.56352798904997	#53B400	3.348	66.2685609756098	Bolivia	Latin America & Caribbean	Bolivia	#53B400
8.85944095860691	#53B400	1.83	73.0995365853658	Brazil	Latin America & Caribbean	Brazil	#53B400
2.28855003432234	#53B400	1.896	75.2221219512195	Bahamas, The	Latin America & Caribbean	Bahamas, The	#53B400
2.41131680885786	#A58AFF	2.399	66.9088536585366	Bhutan	South Asia	Bhutan	#A58AFF
2.68634834082136	#FB61D7	2.75	53.109512195122	Botswana	Sub-Saharan Africa	Botswana	#FB61D7
3.51126935243498	#C49A00	1.44	70.4048780487805	Belarus	Europe & Central Asia	Belarus	#C49A00
2.26598846150492	#53B400	2.79	75.8399512195122	Belize	Latin America & Caribbean	Belize	#53B400
4.86750673669124	#00B6EB	1.6269	80.7978048780488	Canada	North America	Canada	#00B6EB
5.8713812873371	#FB61D7	5.775	48.0695853658537	Congo, Dem. Rep.	Sub-Saharan Africa	Congo, Dem. Rep.	#FB61D7
3.02221074315374	#FB61D7	4.631	47.6184634146341	Central African Republic	Sub-Saharan Africa	Central African Republic	#FB61D7
2.99372785613097	#FB61D7	4.544	56.9601951219512	Congo, Rep.	Sub-Saharan Africa	Congo, Rep.	#FB61D7
3.37206541626361	#C49A00	1.52	82.2463414634147	Switzerland	Europe & Central Asia	Switzerland	#C49A00
4.1379160090216	#FB61D7	4.432	54.7415609756098	Cote d'Ivoire	Sub-Saharan Africa	Cote d'Ivoire	#FB61D7
4.03237976939591	#53B400	1.862	78.8857317073171	Chile	Latin America & Caribbean	Chile	#53B400
4.22887360649655	#FB61D7	4.487	51.062756097561	Cameroon	Sub-Saharan Africa	Cameroon	#FB61D7
19.9569275904463	#F8766D	1.598	73.2730975609756	China	East Asia & Pacific	China	#F8766D
5.34543261417808	#53B400	2.1	73.4296829268293	Colombia	Latin America & Caribbean	Colombia	#53B400
3.05924226571427	#53B400	1.848	79.1926097560976	Costa Rica	Latin America & Caribbean	Costa Rica	#53B400
3.64798124968047	#53B400	1.467	78.9641463414634	Cuba	Latin America & Caribbean	Cuba	#53B400
2.33748985842955	#FB61D7	2.405	73.7740487804878	Cape Verde	Sub-Saharan Africa	Cape Verde	#FB61D7
2.51225672983138	#C49A00	1.476	79.3803902439025	Cyprus	Europe & Central Asia	Cyprus	#C49A00
3.59127849872731	#C49A00	1.49	77.4243902439025	Czech Republic	Europe & Central Asia	Czech Republic	#C49A00
6.43945477826872	#C49A00	1.39	79.9878048780488	Germany	Europe & Central Asia	Germany	#C49A00
2.44430602628191	#00C094	3.75	57.5273902439024	Djibouti	Middle East & North Africa	Djibouti	#00C094
3.15483172556573	#C49A00	1.87	79.1	Denmark	Europe & Central Asia	Denmark	#C49A00
3.55271372244092	#53B400	2.58	73.2000243902439	Dominican Republic	Latin America & Caribbean	Dominican Republic	#53B400
4.98837512641076	#00C094	2.264	72.8525365853659	Algeria	Middle East & North Africa	Algeria	#00C094
3.90062712657109	#53B400	2.479	75.4622926829268	Ecuador	Latin America & Caribbean	Ecuador	#53B400
2.56516341947184	#C49A00	1.63	75.4292682926829	Estonia	Europe & Central Asia	Estonia	#C49A00
6.33780767336318	#00C094	2.733	72.9752682926829	Egypt, Arab Rep.	Middle East & North Africa	Egypt, Arab Rep.	#00C094
3.17485057033298	#FB61D7	4.453	60.9941951219512	Eritrea	Sub-Saharan Africa	Eritrea	#FB61D7
5.33193758517883	#C49A00	1.38	81.6268292682927	Spain	Europe & Central Asia	Spain	#C49A00
6.581566499798	#FB61D7	4.193	58.7150975609756	Ethiopia	Sub-Saharan Africa	Ethiopia	#FB61D7
3.13543083271215	#C49A00	1.87	79.8707317073171	Finland	Europe & Central Asia	Finland	#C49A00
2.45144350240119	#F8766D	2.668	69.2258292682927	Fiji	East Asia & Pacific	Fiji	#F8766D
2.14608295245417	#F8766D	3.451	68.7648292682927	Micronesia, Fed. Sts.	East Asia & Pacific	Micronesia, Fed. Sts.	#F8766D
5.95881235162729	#C49A00	2.03	81.3682926829268	France	Europe & Central Asia	France	#C49A00
2.60950092017379	#FB61D7	3.25	62.2866829268293	Gabon	Sub-Saharan Africa	Gabon	#FB61D7
