size	colour	x	y	key	showSelectedlegendcolour	clickSelects	fill
2.99822564026764	#00C094	2.086	75.6604634146342	United Arab Emirates	Middle East & North Africa	United Arab Emirates	#00C094
4.44726219286799	#A58AFF	6.989	46.6164146341463	Afghanistan	South Asia	Afghanistan	#A58AFF
2.87566691043045	#C49A00	1.764	76.112	Albania	Europe & Central Asia	Albania	#C49A00
2.85035933344466	#C49A00	1.724	72.9007073170732	Armenia	Europe & Central Asia	Armenia	#C49A00
3.99609573099048	#FB61D7	6.233	48.5384390243903	Angola	Sub-Saharan Africa	Angola	#FB61D7
5.05163229106064	#53B400	2.287	74.7414634146342	Argentina	Latin America & Caribbean	Argentina	#53B400
3.40701375347227	#C49A00	1.41	79.3317073170732	Austria	Europe & Central Asia	Austria	#C49A00
4.21642640879702	#F8766D	1.807	80.8414634146341	Australia	East Asia & Pacific	Australia	#F8766D
2.14309206357969	#53B400	1.77	74.2249756097561	Aruba	Latin America & Caribbean	Aruba	#53B400
3.4209944049249	#C49A00	2	68.9227317073171	Azerbaijan	Europe & Central Asia	Azerbaijan	#C49A00
2.96519350433322	#C49A00	1.212	74.7236341463415	Bosnia and Herzegovina	Europe & Central Asia	Bosnia and Herzegovina	#C49A00
2.24961284946882	#53B400	1.501	75.9009512195122	Barbados	Latin America & Caribbean	Barbados	#53B400
7.87360324991548	#A58AFF	2.601	66.9322926829268	Bangladesh	South Asia	Bangladesh	#A58AFF
3.58815679107682	#C49A00	1.76	78.9804878048781	Belgium	Europe & Central Asia	Belgium	#C49A00
3.79770124351589	#FB61D7	6.036	52.4351951219512	Burkina Faso	Sub-Saharan Africa	Burkina Faso	#FB61D7
3.36457759670979	#C49A00	1.32	72.5609756097561	Bulgaria	Europe & Central Asia	Bulgaria	#C49A00
2.45648129769903	#00C094	2.618	74.3877317073171	Bahrain	Middle East & North Africa	Bahrain	#00C094
3.3672681298898	#FB61D7	5.028	47.7514634146342	Burundi	Sub-Saharan Africa	Burundi	#FB61D7
3.40311362507708	#FB61D7	5.64	53.8137317073171	Benin	Sub-Saharan Africa	Benin	#FB61D7
2.10875273987174	#00B6EB	1.752	78.5767073170732	Bermuda	North America	Bermuda	#00B6EB
2.29159027958654	#F8766D	2.179	77.2285853658537	Brunei Darussalam	East Asia & Pacific	Brunei Darussalam	#F8766D
