size	colour	x	y	key	showSelectedlegendcolour	clickSelects	fill
2.53789509058479	#00C094	5.209	69.8756829268293	United Arab Emirates	Middle East & North Africa	United Arab Emirates	#00C094
3.71676718094765	#A58AFF	7.807	40.149243902439	Afghanistan	South Asia	Afghanistan	#A58AFF
2.83828771458543	#C49A00	3.904	70.7154146341463	Albania	Europe & Central Asia	Albania	#C49A00
2.88157670647705	#C49A00	2.406	70.2919268292683	Armenia	Europe & Central Asia	Armenia	#C49A00
3.42928354562421	#FB61D7	7.205	40.5297804878049	Angola	Sub-Saharan Africa	Angola	#FB61D7
4.66304168634582	#53B400	3.163	70.2121219512195	Argentina	Latin America & Caribbean	Argentina	#53B400
3.34876513232854	#C49A00	1.56	72.9685365853659	Austria	Europe & Central Asia	Austria	#C49A00
3.9238172522244	#F8766D	1.924	75.1463414634146	Australia	East Asia & Pacific	Australia	#F8766D
2.10656973929191	#53B400	2.353	72.8490243902439	Aruba	Latin America & Caribbean	Aruba	#53B400
3.24687693538097	#C49A00	3.026	65.0080975609756	Azerbaijan	Europe & Central Asia	Azerbaijan	#C49A00
3.00619464389477	#C49A00	1.992	71.2393658536586	Bosnia and Herzegovina	Europe & Central Asia	Bosnia and Herzegovina	#C49A00
2.23896135355029	#53B400	1.889	72.8072926829268	Barbados	Latin America & Caribbean	Barbados	#53B400
6.64179119342905	#A58AFF	5.903	56.3081219512195	Bangladesh	South Asia	Bangladesh	#A58AFF
3.54014413316926	#C49A00	1.56	73.8690243902439	Belgium	Europe & Central Asia	Belgium	#C49A00
3.32886960536186	#FB61D7	7.059	47.5113414634146	Burkina Faso	Sub-Saharan Africa	Burkina Faso	#FB61D7
3.46672899674634	#C49A00	2	71.3863414634146	Bulgaria	Europe & Central Asia	Bulgaria	#C49A00
2.30319409327404	#00C094	4.583	70.9411463414634	Bahrain	Middle East & North Africa	Bahrain	#00C094
3.03824027251544	#FB61D7	6.514	47.8462926829268	Burundi	Sub-Saharan Africa	Burundi	#FB61D7
2.98564608077931	#FB61D7	7.01	46.1964634146342	Benin	Sub-Saharan Africa	Benin	#FB61D7
2.21727040334852	#F8766D	3.906	71.6538292682927	Brunei Darussalam	East Asia & Pacific	Brunei Darussalam	#F8766D
3.17705557639802	#53B400	5.259	54.2558292682927	Bolivia	Latin America & Caribbean	Bolivia	#53B400
7.60738853808391	#53B400	3.721	63.6762926829268	Brazil	Latin America & Caribbean	Brazil	#53B400
2.22504126687789	#53B400	2.965	68.5236585365854	Bahamas, The	Latin America & Caribbean	Bahamas, The	#53B400
2.32191975244329	#A58AFF	6.399	48.1824146341464	Bhutan	South Asia	Bhutan	#A58AFF
2.51337921263783	#FB61D7	5.88	61.9666585365854	Botswana	Sub-Saharan Africa	Botswana	#FB61D7
3.53916405710469	#C49A00	2.11	70.4620243902439	Belarus	Europe & Central Asia	Belarus	#C49A00
2.18418285152377	#53B400	5.336	71.0464146341463	Belize	Latin America & Caribbean	Belize	#53B400
4.47639908541792	#00B6EB	1.68	76.0363414634146	Canada	North America	Canada	#00B6EB
4.6199281575525	#FB61D7	6.748	46.2006829268293	Congo, Dem. Rep.	Sub-Saharan Africa	Congo, Dem. Rep.	#FB61D7
2.77151145214096	#FB61D7	5.955	49.6525365853659	Central African Republic	Sub-Saharan Africa	Central African Republic	#FB61D7
2.68512399238658	#FB61D7	5.952	56.8532195121951	Congo, Rep.	Sub-Saharan Africa	Congo, Rep.	#FB61D7
3.2424223405162	#C49A00	1.51	76.0312195121951	Switzerland	Europe & Central Asia	Switzerland	#C49A00
3.50297199837312	#FB61D7	7.253	52.6931707317073	Cote d'Ivoire	Sub-Saharan Africa	Cote d'Ivoire	#FB61D7
3.68056168824969	#53B400	2.651	71.0063658536586	Chile	Latin America & Caribbean	Chile	#53B400
3.53348070353277	#FB61D7	6.377	52.3071951219512	Cameroon	Sub-Saharan Africa	Cameroon	#FB61D7
17.7056065237434	#F8766D	2.602	67.7998536585366	China	East Asia & Pacific	China	#F8766D
4.63427714015863	#53B400	3.63	66.9430975609756	Colombia	Latin America & Caribbean	Colombia	#53B400
2.78226442789165	#53B400	3.517	73.9583902439024	Costa Rica	Latin America & Caribbean	Costa Rica	#53B400
3.54947231951581	#53B400	1.825	74.0802682926829	Cuba	Latin America & Caribbean	Cuba	#53B400
2.269974172859	#FB61D7	6.075	61.5797073170732	Cape Verde	Sub-Saharan Africa	Cape Verde	#FB61D7
2.40456135538968	#C49A00	2.438	75.3154878048781	Cyprus	Europe & Central Asia	Cyprus	#C49A00
3.57636820802081	#C49A00	1.97	70.5914634146341	Czech Republic	Europe & Central Asia	Czech Republic	#C49A00
6.33926827241577	#C49A00	1.33	73.6377073170732	Germany	Europe & Central Asia	Germany	#C49A00
2.3019975853153	#00C094	6.592	49.3273170731707	Djibouti	Middle East & North Africa	Djibouti	#00C094
3.10867861175853	#C49A00	1.377	74.4204878048781	Denmark	Europe & Central Asia	Denmark	#C49A00
3.22499448712094	#53B400	4.082	64.2024390243903	Dominican Republic	Latin America & Caribbean	Dominican Republic	#53B400
4.27325603800069	#00C094	6.38	61.968512195122	Algeria	Middle East & North Africa	Algeria	#00C094
3.43256233338018	#53B400	4.629	64.8221463414634	Ecuador	Latin America & Caribbean	Ecuador	#53B400
2.60003916702455	#C49A00	2.16	69.3756097560976	Estonia	Europe & Central Asia	Estonia	#C49A00
5.4035454799458	#00C094	5.189	57.8743658536585	Egypt, Arab Rep.	Middle East & North Africa	Egypt, Arab Rep.	#00C094
2.79789680899977	#FB61D7	6.481	44.1779024390244	Eritrea	Sub-Saharan Africa	Eritrea	#FB61D7
5.03080938254461	#C49A00	1.792	75.9090243902439	Spain	Europe & Central Asia	Spain	#C49A00
5.03624860831248	#FB61D7	6.95	43.842243902439	Ethiopia	Sub-Saharan Africa	Ethiopia	#FB61D7
3.08021026516855	#C49A00	1.74	74.2009756097561	Finland	Europe & Central Asia	Finland	#C49A00
2.40197551988841	#F8766D	3.755	63.8533414634146	Fiji	East Asia & Pacific	Fiji	#F8766D
2.12573894448901	#F8766D	5.894	65.4535853658537	Micronesia, Fed. Sts.	East Asia & Pacific	Micronesia, Fed. Sts.	#F8766D
5.67849641747129	#C49A00	1.86	74.8	France	Europe & Central Asia	France	#C49A00
2.43038658108532	#FB61D7	5.197	57.4076341463415	Gabon	Sub-Saharan Africa	Gabon	#FB61D7
5.68448665703752	#C49A00	1.77	74.3780487804878	United Kingdom	Europe & Central Asia	United Kingdom	#C49A00
2.13963911644996	#53B400	4.245	65.4833658536585	Grenada	Latin America & Caribbean	Grenada	#53B400
3.04932101006163	#C49A00	2.277	69.4941707317073	Georgia	Europe & Central Asia	Georgia	#C49A00
3.69228872677958	#FB61D7	6.31	53.9646585365854	Ghana	Sub-Saharan Africa	Ghana	#FB61D7
2.39830318477946	#FB61D7	6.28	50.0315853658537	Gambia, The	Sub-Saharan Africa	Gambia, The	#FB61D7
3.0732127692979	#FB61D7	6.949	40.3074146341463	Guinea	Sub-Saharan Africa	Guinea	#FB61D7
2.24900613615374	#FB61D7	5.802	43.9001707317073	Equatorial Guinea	Sub-Saharan Africa	Equatorial Guinea	#FB61D7
3.5394480458928	#C49A00	1.94	75.2491707317073	Greece	Europe & Central Asia	Greece	#C49A00
3.34710496681981	#53B400	6.054	58.6529756097561	Guatemala	Latin America & Caribbean	Guatemala	#53B400
2.1523714234157	#F8766D	3.088	70.2585365853659	Guam	East Asia & Pacific	Guam	#F8766D
2.45366702453154	#FB61D7	6.642	41.2253414634146	Guinea-Bissau	Sub-Saharan Africa	Guinea-Bissau	#FB61D7
2.42531174293184	#53B400	3.174	60.1744146341463	Guyana	Latin America & Caribbean	Guyana	#53B400
3.13349173632927	#F8766D	1.722	75.2756097560976	Hong Kong SAR, China	East Asia & Pacific	Hong Kong SAR, China	#F8766D
2.9786576697296	#53B400	5.932	61.8017317073171	Honduras	Latin America & Caribbean	Honduras	#53B400
3.05802577921121	#C49A00	1.88	70.2748780487805	Croatia	Europe & Central Asia	Croatia	#C49A00
3.21117540183356	#53B400	6.149	52.1255609756098	Haiti	Latin America & Caribbean	Haiti	#53B400
3.60407811343663	#C49A00	1.73	68.9736585365854	Hungary	Europe & Central Asia	Hungary	#C49A00
8.12597361451514	#F8766D	4.028	59.0631219512195	Indonesia	East Asia & Pacific	Indonesia	#F8766D
2.91793016566845	#C49A00	2.759	73.2223902439025	Ireland	Europe & Central Asia	Ireland	#C49A00
2.99291308572387	#00C094	3.106	74.4585365853658	Israel	Middle East & North Africa	Israel	#00C094
15.4275488855068	#A58AFF	4.439	56.419756097561	India	South Asia	India	#A58AFF
3.88927346239963	#00C094	6.343	55.9501707317073	Iraq	Middle East & North Africa	Iraq	#00C094
5.25070676021855	#00C094	6.473	50.105756097561	Iran, Islamic Rep.	Middle East & North Africa	Iran, Islamic Rep.	#00C094
2.23127101873206	#C49A00	2.24	76.8456097560976	Iceland	Europe & Central Asia	Iceland	#C49A00
5.69204267886218	#C49A00	1.52	74.640243902439	Italy	Europe & Central Asia	Italy	#C49A00
2.1672678316341	#C49A00	1.433	74.0064634146342	Channel Islands	Europe & Central Asia	Channel Islands	#C49A00
2.73246806018936	#53B400	3.477	70.9734146341463	Jamaica	Latin America & Caribbean	Jamaica	#53B400
2.7670453220905	#00C094	7.022	68.2876341463415	Jordan	Middle East & North Africa	Jordan	#00C094
7.36132841710674	#F8766D	1.8	76.9614634146342	Japan	East Asia & Pacific	Japan	#F8766D
4.09606130096446	#FB61D7	7.165	59.0272682926829	Kenya	Sub-Saharan Africa	Kenya	#FB61D7
2.95999382414656	#C49A00	4.086	64.0422682926829	Kyrgyz Republic	Europe & Central Asia	Kyrgyz Republic	#C49A00
3.31672794381712	#F8766D	6.758	48.2511951219512	Cambodia	East Asia & Pacific	Cambodia	#F8766D
2.28144960305176	#FB61D7	6.921	53.196	Comoros	Sub-Saharan Africa	Comoros	#FB61D7
4.09321088329243	#F8766D	2.807	68.8146097560976	Korea, Dem. Rep.	East Asia & Pacific	Korea, Dem. Rep.	#F8766D
5.10108061274173	#F8766D	2.08	67.2392682926829	Korea, Rep.	East Asia & Pacific	Korea, Rep.	#F8766D
2.62082107398786	#C49A00	4.4761	66.3826829268293	Kosovo	Europe & Central Asia	Kosovo	#C49A00
2.61345170495064	#00C094	4.876	71.2941463414634	Kuwait	Middle East & North Africa	Kuwait	#00C094
3.927087258111	#C49A00	3.04	67.6621951219512	Kazakhstan	Europe & Central Asia	Kazakhstan	#C49A00
2.91411225647178	#F8766D	6.363	49.9567073170732	Lao PDR	East Asia & Pacific	Lao PDR	#F8766D
2.79715720852558	#00C094	3.82	67.1083902439024	Lebanon	Middle East & North Africa	Lebanon	#00C094
2.16108655935362	#53B400	4.161	70.1427073170732	St. Lucia	Latin America & Caribbean	St. Lucia	#53B400
3.92682206216965	#A58AFF	3.119	69.1948292682927	Sri Lanka	South Asia	Sri Lanka	#A58AFF
2.71019921797075	#FB61D7	6.944	43.5695609756098	Liberia	Sub-Saharan Africa	Liberia	#FB61D7
2.57920412217534	#FB61D7	5.436	55.3014390243903	Lesotho	Sub-Saharan Africa	Lesotho	#FB61D7
2.91458797818327	#C49A00	2.04	70.7778048780488	Lithuania	Europe & Central Asia	Lithuania	#C49A00
2.29068241553884	#C49A00	1.44	72.8232926829268	Luxembourg	Europe & Central Asia	Luxembourg	#C49A00
2.78107670601972	#C49A00	2.07	69.1190243902439	Latvia	Europe & Central Asia	Latvia	#C49A00
2.91385564097309	#00C094	7.017	62.8713658536585	Libya	Middle East & North Africa	Libya	#00C094
4.26355196378206	#00C094	5.278	59.9501951219512	Morocco	Middle East & North Africa	Morocco	#00C094
2.91653731531439	#C49A00	2.585	65.3133414634146	Moldova	Europe & Central Asia	Moldova	#C49A00
2.37169291800737	#C49A00	2.154	74.1024634146342	Montenegro	Europe & Central Asia	Montenegro	#C49A00
3.5090620640354	#FB61D7	6.165	49.0729756097561	Madagascar	Sub-Saharan Africa	Madagascar	#FB61D7
2.6796318192447	#C49A00	2.311	69.7896341463415	Macedonia, FYR	Europe & Central Asia	Macedonia, FYR	#C49A00
3.3110616953237	#FB61D7	7.08	41.1331951219512	Mali	Sub-Saharan Africa	Mali	#FB61D7
4.98351559505909	#F8766D	4.248	55.3321219512195	Myanmar	East Asia & Pacific	Myanmar	#F8766D
2.66018882812536	#F8766D	5.707	58.019243902439	Mongolia	East Asia & Pacific	Mongolia	#F8766D
