size	colour	x	y	key	showSelectedlegendcolour	clickSelects	fill
2.71250687109653	#00C094	3.784	72.9353414634146	United Arab Emirates	Middle East & North Africa	United Arab Emirates	#00C094
3.91164518219377	#A58AFF	8.034	43.2420975609756	Afghanistan	South Asia	Afghanistan	#A58AFF
2.90559423950455	#C49A00	2.784	71.487	Albania	Europe & Central Asia	Albania	#C49A00
2.89923590914074	#C49A00	2.295	68.012756097561	Armenia	Europe & Central Asia	Armenia	#C49A00
3.65457858704797	#FB61D7	7.093	41.4781951219512	Angola	Sub-Saharan Africa	Angola	#FB61D7
4.86057999716451	#53B400	2.875	72.171756097561	Argentina	Latin America & Caribbean	Argentina	#53B400
3.37913817031216	#C49A00	1.48	76.1063414634146	Austria	Europe & Central Asia	Austria	#C49A00
4.06276697709695	#F8766D	1.859	77.8780487804878	Australia	East Asia & Pacific	Australia	#F8766D
2.11763709645584	#53B400	2.149	73.5053170731707	Aruba	Latin America & Caribbean	Aruba	#53B400
3.34277275511988	#C49A00	2.7	64.1540243902439	Azerbaijan	Europe & Central Asia	Azerbaijan	#C49A00
2.96553309577377	#C49A00	1.556	65.9418536585366	Bosnia and Herzegovina	Europe & Central Asia	Bosnia and Herzegovina	#C49A00
2.24382198057729	#53B400	1.719	74.782243902439	Barbados	Latin America & Caribbean	Barbados	#53B400
7.2623673013772	#A58AFF	4.021	61.0467317073171	Bangladesh	South Asia	Bangladesh	#A58AFF
3.55795819622294	#C49A00	1.61	76.3453658536585	Belgium	Europe & Central Asia	Belgium	#C49A00
3.51624345783213	#FB61D7	6.681	48.7100243902439	Burkina Faso	Sub-Saharan Africa	Burkina Faso	#FB61D7
3.42780277730137	#C49A00	1.45	71.3468292682927	Bulgaria	Europe & Central Asia	Bulgaria	#C49A00
2.35425465337855	#00C094	3.303	72.8810975609756	Bahrain	Middle East & North Africa	Bahrain	#00C094
3.20148264650862	#FB61D7	6.432	44.753756097561	Burundi	Sub-Saharan Africa	Burundi	#FB61D7
3.15845142179957	#FB61D7	6.526	50.0734634146341	Benin	Sub-Saharan Africa	Benin	#FB61D7
2.25253341917886	#F8766D	3.197	74.4508292682927	Brunei Darussalam	East Asia & Pacific	Brunei Darussalam	#F8766D
3.32449421988715	#53B400	4.742	60.2537804878049	Bolivia	Latin America & Caribbean	Bolivia	#53B400
8.15174970955938	#53B400	2.583	67.5368048780488	Brazil	Latin America & Caribbean	Brazil	#53B400
2.24842074481206	#53B400	2.601	69.6311707317073	Bahamas, The	Latin America & Caribbean	Bahamas, The	#53B400
2.3485421897726	#A58AFF	5.155	54.9941219512195	Bhutan	South Asia	Bhutan	#A58AFF
2.59934739929763	#FB61D7	4.252	61.9767073170732	Botswana	Sub-Saharan Africa	Botswana	#FB61D7
3.56986691122836	#C49A00	1.61	68.9707317073171	Belarus	Europe & Central Asia	Belarus	#C49A00
2.21021914204185	#53B400	4.286	72.901	Belize	Latin America & Caribbean	Belize	#53B400
4.63565550925168	#00B6EB	1.7	77.6851219512195	Canada	North America	Canada	#00B6EB
5.07560817577889	#FB61D7	7.14	46.492512195122	Congo, Dem. Rep.	Sub-Saharan Africa	Congo, Dem. Rep.	#FB61D7
2.86584138535414	#FB61D7	5.653	47.3506097560976	Central African Republic	Sub-Saharan Africa	Central African Republic	#FB61D7
2.78606233905449	#FB61D7	5.183	55.1599268292683	Congo, Rep.	Sub-Saharan Africa	Congo, Rep.	#FB61D7
3.29183483628084	#C49A00	1.51	78.0853658536586	Switzerland	Europe & Central Asia	Switzerland	#C49A00
3.79457654852208	#FB61D7	5.84	51.7321951219512	Cote d'Ivoire	Sub-Saharan Africa	Cote d'Ivoire	#FB61D7
