size	colour	x	y	key	showSelectedlegendcolour	clickSelects	fill
2.65713058553469	#00C094	4.388	72.1435365853659	United Arab Emirates	Middle East & North Africa	United Arab Emirates	#00C094
3.68052862623197	#A58AFF	7.96	42.3293658536585	Afghanistan	South Asia	Afghanistan	#A58AFF
2.90952543283026	#C49A00	3.219	71.6454390243903	Albania	Europe & Central Asia	Albania	#C49A00
2.92239601945949	#C49A00	2.538	67.757243902439	Armenia	Europe & Central Asia	Armenia	#C49A00
3.57713168214895	#FB61D7	7.165	41.1414146341463	Angola	Sub-Saharan Africa	Angola	#FB61D7
4.80367890076431	#53B400	2.989	71.4982926829268	Argentina	Latin America & Caribbean	Argentina	#53B400
3.3590860216076	#C49A00	1.45	75.53	Austria	Europe & Central Asia	Austria	#C49A00
4.02729354408835	#F8766D	1.902	76.9946341463415	Australia	East Asia & Pacific	Australia	#F8766D
2.10650638707085	#53B400	2.249	73.3899756097561	Aruba	Latin America & Caribbean	Aruba	#53B400
3.31226734956712	#C49A00	2.74	64.7463658536585	Azerbaijan	Europe & Central Asia	Azerbaijan	#C49A00
3.04282403478702	#C49A00	1.708	67.4668536585366	Bosnia and Herzegovina	Europe & Central Asia	Bosnia and Herzegovina	#C49A00
2.24264364686774	#53B400	1.748	74.4172682926829	Barbados	Latin America & Caribbean	Barbados	#53B400
7.08741674550383	#A58AFF	4.538	59.4711463414634	Bangladesh	South Asia	Bangladesh	#A58AFF
3.54887302723227	#C49A00	1.62	76.0519512195122	Belgium	Europe & Central Asia	Belgium	#C49A00
3.45611452305416	#FB61D7	6.844	48.4530487804878	Burkina Faso	Sub-Saharan Africa	Burkina Faso	#FB61D7
3.44841758036164	#C49A00	1.81	71.6414634146342	Bulgaria	Europe & Central Asia	Bulgaria	#C49A00
2.34045629899435	#00C094	3.709	72.4649512195122	Bahrain	Middle East & North Africa	Bahrain	#00C094
3.16088891007075	#FB61D7	6.505	46.2271463414634	Burundi	Sub-Saharan Africa	Burundi	#FB61D7
3.09632260503612	#FB61D7	6.744	48.6485365853659	Benin	Sub-Saharan Africa	Benin	#FB61D7
2.24144508701601	#F8766D	3.532	73.6536585365854	Brunei Darussalam	East Asia & Pacific	Brunei Darussalam	#F8766D
3.2783087014399	#53B400	4.913	58.7780731707317	Bolivia	Latin America & Caribbean	Bolivia	#53B400
8.00576539086674	#53B400	2.809	66.3407317073171	Brazil	Latin America & Caribbean	Brazil	#53B400
2.24114988909431	#53B400	2.639	69.4370487804878	Bahamas, The	Latin America & Caribbean	Bahamas, The	#53B400
2.35426383926739	#A58AFF	5.753	52.5896341463415	Bhutan	South Asia	Bhutan	#A58AFF
2.5744178836762	#FB61D7	4.698	64.0171707317073	Botswana	Sub-Saharan Africa	Botswana	#FB61D7
3.56602349216874	#C49A00	1.91	70.8365853658537	Belarus	Europe & Central Asia	Belarus	#C49A00
2.20389298021498	#53B400	4.508	72.4868048780488	Belize	Latin America & Caribbean	Belize	#53B400
4.58754827827495	#00B6EB	1.83	77.3770731707317	Canada	North America	Canada	#00B6EB
4.90027401002522	#FB61D7	7.084	46.8400731707317	Congo, Dem. Rep.	Sub-Saharan Africa	Congo, Dem. Rep.	#FB61D7
2.8357639587359	#FB61D7	5.78	48.8288780487805	Central African Republic	Sub-Saharan Africa	Central African Republic	#FB61D7
2.75554953711039	#FB61D7	5.358	56.2465609756098	Congo, Rep.	Sub-Saharan Africa	Congo, Rep.	#FB61D7
3.27088321199108	#C49A00	1.59	77.2424390243902	Switzerland	Europe & Central Asia	Switzerland	#C49A00
3.70788985072133	#FB61D7	6.257	52.6441463414634	Cote d'Ivoire	Sub-Saharan Africa	Cote d'Ivoire	#FB61D7
3.78370160947872	#53B400	2.624	73.6035609756098	Chile	Latin America & Caribbean	Chile	#53B400
3.70467964897517	#FB61D7	5.923	53.2530975609756	Cameroon	Sub-Saharan Africa	Cameroon	#FB61D7
18.5418752456828	#F8766D	2.336	69.4597317073171	China	East Asia & Pacific	China	#F8766D
4.83284806996237	#53B400	3.104	68.3055365853658	Colombia	Latin America & Caribbean	Colombia	#53B400
2.85933114908439	#53B400	3.175	75.747	Costa Rica	Latin America & Caribbean	Costa Rica	#53B400
3.59740545520959	#53B400	1.752	74.4598048780488	Cuba	Latin America & Caribbean	Cuba	#53B400
2.28496145426286	#FB61D7	5.307	65.0802195121951	Cape Verde	Sub-Saharan Africa	Cape Verde	#FB61D7
2.42562306507719	#C49A00	2.411	76.5047073170732	Cyprus	Europe & Central Asia	Cyprus	#C49A00
3.57709431201419	#C49A00	1.893	71.3839024390244	Czech Republic	Europe & Central Asia	Czech Republic	#C49A00
6.37535821079931	#C49A00	1.45	75.3161219512195	Germany	Europe & Central Asia	Germany	#C49A00
2.3722424579299	#00C094	6.166	51.3663170731707	Djibouti	Middle East & North Africa	Djibouti	#00C094
3.11157111337427	#C49A00	1.67	74.8053658536585	Denmark	Europe & Central Asia	Denmark	#C49A00
3.32015399882734	#53B400	3.466	67.7041951219512	Dominican Republic	Latin America & Caribbean	Dominican Republic	#53B400
4.51425255005174	#00C094	4.713	67.0717804878049	Algeria	Middle East & North Africa	Algeria	#00C094
3.56098147558266	#53B400	3.67	68.8568780487805	Ecuador	Latin America & Caribbean	Ecuador	#53B400
2.61205674728669	#C49A00	2.04	69.4756097560976	Estonia	Europe & Central Asia	Estonia	#C49A00
5.68460984681846	#00C094	4.35	62.0128292682927	Egypt, Arab Rep.	Middle East & North Africa	Egypt, Arab Rep.	#00C094
2.88612458224803	#FB61D7	6.215	48.2335365853659	Eritrea	Sub-Saharan Africa	Eritrea	#FB61D7
5.05962284535018	#C49A00	1.33	76.8375609756098	Spain	Europe & Central Asia	Spain	#C49A00
5.40251498445379	#FB61D7	7.078	47.0453902439024	Ethiopia	Sub-Saharan Africa	Ethiopia	#FB61D7
3.09468993790965	#C49A00	1.78	74.8131707317073	Finland	Europe & Central Asia	Finland	#C49A00
2.41464381893926	#F8766D	3.398	65.5708536585366	Fiji	East Asia & Pacific	Fiji	#F8766D
2.13994088262385	#F8766D	4.958	66.1975853658537	Micronesia, Fed. Sts.	East Asia & Pacific	Micronesia, Fed. Sts.	#F8766D
5.75179273920159	#C49A00	1.77	76.6	France	Europe & Central Asia	France	#C49A00
2.47388428714621	#FB61D7	5.178	61.2891219512195	Gabon	Sub-Saharan Africa	Gabon	#FB61D7
5.71428866270135	#C49A00	1.83	75.8804878048781	United Kingdom	Europe & Central Asia	United Kingdom	#C49A00
2.13990212057968	#53B400	3.842	68.9273658536586	Grenada	Latin America & Caribbean	Grenada	#53B400
3.07419216929701	#C49A00	2.18	70.2478780487805	Georgia	Europe & Central Asia	Georgia	#C49A00
3.87686472910665	#FB61D7	5.616	56.8430243902439	Ghana	Sub-Saharan Africa	Ghana	#FB61D7
2.46621971915112	#FB61D7	6.09	53.1250487804878	Gambia, The	Sub-Saharan Africa	Gambia, The	#FB61D7
3.20312757126947	#FB61D7	6.745	43.6706829268293	Guinea	Sub-Saharan Africa	Guinea	#FB61D7
2.29407460599697	#FB61D7	5.9	46.7654390243902	Equatorial Guinea	Sub-Saharan Africa	Equatorial Guinea	#FB61D7
3.5635511916273	#C49A00	1.4	76.9390243902439	Greece	Europe & Central Asia	Greece	#C49A00
3.4626632797692	#53B400	5.58	62.2866829268293	Guatemala	Latin America & Caribbean	Guatemala	#53B400
2.16678002622015	#F8766D	3.131	72.0855365853659	Guam	East Asia & Pacific	Guam	#F8766D
2.49153257428778	#FB61D7	6.649	42.8241463414634	Guinea-Bissau	Sub-Saharan Africa	Guinea-Bissau	#FB61D7
2.41368465415752	#53B400	2.586	61.1014634146342	Guyana	Latin America & Caribbean	Guyana	#53B400
3.17108376329	#F8766D	1.272	77.3804878048781	Hong Kong SAR, China	East Asia & Pacific	Hong Kong SAR, China	#F8766D
3.08554237068703	#53B400	5.142	66.3393902439024	Honduras	Latin America & Caribbean	Honduras	#53B400
