size	colour	x	y	key	showSelectedlegendcolour	clickSelects	fill
2.63863684624776	#00C094	4.566	71.861243902439	United Arab Emirates	Middle East & North Africa	United Arab Emirates	#00C094
3.64311459662319	#A58AFF	7.937	42.0211951219512	Afghanistan	South Asia	Afghanistan	#A58AFF
2.90387948338419	#C49A00	3.38	71.7542195121951	Albania	Europe & Central Asia	Albania	#C49A00
2.92213791883176	#C49A00	2.565	67.9126097560976	Armenia	Europe & Central Asia	Armenia	#C49A00
3.55537668259952	#FB61D7	7.182	41.091243902439	Angola	Sub-Saharan Africa	Angola	#FB61D7
4.78407358668468	#53B400	3.016	71.2921707317073	Argentina	Latin America & Caribbean	Argentina	#53B400
3.35390754826571	#C49A00	1.45	75.2480487804878	Austria	Europe & Central Asia	Austria	#C49A00
4.01233388720725	#F8766D	1.838	76.7136585365854	Australia	East Asia & Pacific	Australia	#F8766D
2.10523591484369	#53B400	2.272	73.3444878048781	Aruba	Latin America & Caribbean	Aruba	#53B400
3.30721145292091	#C49A00	2.8	65.0892682926829	Azerbaijan	Europe & Central Asia	Azerbaijan	#C49A00
3.04953164285725	#C49A00	1.775	68.8140243902439	Bosnia and Herzegovina	Europe & Central Asia	Bosnia and Herzegovina	#C49A00
2.24219967172561	#53B400	1.758	74.2505365853659	Barbados	Latin America & Caribbean	Barbados	#53B400
7.02528702671333	#A58AFF	4.728	58.9580731707317	Bangladesh	South Asia	Bangladesh	#A58AFF
3.54656160048053	#C49A00	1.58	75.6326829268293	Belgium	Europe & Central Asia	Belgium	#C49A00
3.43684954901746	#FB61D7	6.889	48.3846341463415	Burkina Faso	Sub-Saharan Africa	Burkina Faso	#FB61D7
3.46156223069601	#C49A00	1.9	71.7224390243903	Bulgaria	Europe & Central Asia	Bulgaria	#C49A00
2.33517526356145	#00C094	3.852	72.3097073170732	Bahrain	Middle East & North Africa	Bahrain	#00C094
3.1445219144423	#FB61D7	6.508	46.8498048780488	Burundi	Sub-Saharan Africa	Burundi	#FB61D7
3.07802708528977	#FB61D7	6.805	48.1980487804878	Benin	Sub-Saharan Africa	Benin	#FB61D7
2.23783090392023	#F8766D	3.608	73.3810975609756	Brunei Darussalam	East Asia & Pacific	Brunei Darussalam	#F8766D
3.2632868158388	#53B400	4.952	58.2189268292683	Bolivia	Latin America & Caribbean	Bolivia	#53B400
7.95397295758936	#53B400	2.917	65.9543658536585	Brazil	Latin America & Caribbean	Brazil	#53B400
2.2389028392372	#53B400	2.654	69.4268048780488	Bahamas, The	Latin America & Caribbean	Bahamas, The	#53B400
2.35214169416542	#A58AFF	5.907	51.8628780487805	Bhutan	South Asia	Bhutan	#A58AFF
2.56586225916233	#FB61D7	4.863	64.0963902439024	Botswana	Sub-Saharan Africa	Botswana	#FB61D7
3.56456051735469	#C49A00	2.03	71.5878048780488	Belarus	Europe & Central Asia	Belarus	#C49A00
2.20140454501983	#53B400	4.584	72.3260487804878	Belize	Latin America & Caribbean	Belize	#53B400
4.56828603450131	#00B6EB	1.77	77.0656097560976	Canada	North America	Canada	#00B6EB
4.85070200203729	#FB61D7	7.047	46.7759024390244	Congo, Dem. Rep.	Sub-Saharan Africa	Congo, Dem. Rep.	#FB61D7
2.82688830176057	#FB61D7	5.826	49.1595609756098	Central African Republic	Sub-Saharan Africa	Central African Republic	#FB61D7
2.7454651681028	#FB61D7	5.431	56.573512195122	Congo, Rep.	Sub-Saharan Africa	Congo, Rep.	#FB61D7
3.26436006144931	#C49A00	1.56	77.4212195121951	Switzerland	Europe & Central Asia	Switzerland	#C49A00
3.67908875755611	#FB61D7	6.399	52.8558536585366	Cote d'Ivoire	Sub-Saharan Africa	Cote d'Ivoire	#FB61D7
3.76789456077999	#53B400	2.64	73.2819024390244	Chile	Latin America & Caribbean	Chile	#53B400
3.67950861951998	#FB61D7	6.004	53.3008780487805	Cameroon	Sub-Saharan Africa	Cameroon	#FB61D7
18.4209579913331	#F8766D	2.444	69.2469268292683	China	East Asia & Pacific	China	#F8766D
4.80507214952454	#53B400	3.155	68.1778292682927	Colombia	Latin America & Caribbean	Colombia	#53B400
2.84841236299941	#53B400	3.254	75.5396585365854	Costa Rica	Latin America & Caribbean	Costa Rica	#53B400
3.59007421172603	#53B400	1.785	74.4300487804878	Cuba	Latin America & Caribbean	Cuba	#53B400
