size	colour	x	y	key	showSelectedlegendcolour	clickSelects	fill
2.14113807981099	#00C094	6.91	52.6601463414634	United Arab Emirates	Middle East & North Africa	United Arab Emirates	#00C094
3.46786303771923	#A58AFF	7.7	31.4752926829268	Afghanistan	South Asia	Afghanistan	#A58AFF
2.63131889573589	#C49A00	5.891	63.2734634146342	Albania	Europe & Central Asia	Albania	#C49A00
2.68015636371573	#C49A00	4.512	66.2754634146342	Armenia	Europe & Central Asia	Armenia	#C49A00
3.10239809848552	#FB61D7	7.354	33.3862195121951	Angola	Sub-Saharan Africa	Angola	#FB61D7
4.24691009853239	#53B400	3.1	65.2966341463415	Argentina	Latin America & Caribbean	Argentina	#53B400
3.30557303937951	#C49A00	2.799	69.5773170731707	Austria	Europe & Central Asia	Austria	#C49A00
3.58848938264713	#F8766D	3.54	70.9731707317073	Australia	East Asia & Pacific	Australia	#F8766D
2.09861762692122	#53B400	4.655	65.9880243902439	Aruba	Latin America & Caribbean	Aruba	#53B400
2.98378296437285	#C49A00	5.596	61.2391707317073	Azerbaijan	Europe & Central Asia	Azerbaijan	#C49A00
2.897697123948	#C49A00	3.954	60.8818536585366	Bosnia and Herzegovina	Europe & Central Asia	Bosnia and Herzegovina	#C49A00
2.22845111687468	#53B400	4.313	65.0817804878049	Barbados	Latin America & Caribbean	Barbados	#53B400
5.5041042234016	#A58AFF	6.758	48.2351219512195	Bangladesh	South Asia	Bangladesh	#A58AFF
3.48666101394417	#C49A00	2.644	70.5209756097561	Belgium	Europe & Central Asia	Belgium	#C49A00
3.08452976874389	#FB61D7	6.316	36.3746097560976	Burkina Faso	Sub-Saharan Africa	Burkina Faso	#FB61D7
3.38241017167795	#C49A00	2.29	70.1956097560976	Bulgaria	Europe & Central Asia	Bulgaria	#C49A00
2.19194009979018	#00C094	7.132	53.2025853658537	Bahrain	Middle East & North Africa	Bahrain	#00C094
2.82524996452166	#FB61D7	6.801	41.5484634146341	Burundi	Sub-Saharan Africa	Burundi	#FB61D7
2.76863163200377	#FB61D7	6.339	35.8840487804878	Benin	Sub-Saharan Africa	Benin	#FB61D7
2.1304445372814	#F8766D	6.487	62.8772682926829	Brunei Darussalam	East Asia & Pacific	Brunei Darussalam	#F8766D
