size	colour	x	y	key	showSelectedlegendcolour	clickSelects	fill
2.76938518185242	#00C094	3.217	73.6800975609756	United Arab Emirates	Middle East & North Africa	United Arab Emirates	#00C094
4.10603599611797	#A58AFF	8.043	44.1368048780488	Afghanistan	South Asia	Afghanistan	#A58AFF
2.89539038153361	#C49A00	2.54	72.2410731707317	Albania	Europe & Central Asia	Albania	#C49A00
2.87253623373449	#C49A00	1.938	69.0294390243903	Armenia	Europe & Central Asia	Armenia	#C49A00
3.73144861991717	#FB61D7	6.997	42.5016097560976	Angola	Sub-Saharan Africa	Angola	#FB61D7
4.91492636882028	#53B400	2.717	72.8462926829268	Argentina	Latin America & Caribbean	Argentina	#53B400
3.38379563148914	#C49A00	1.42	76.9836585365854	Austria	Europe & Central Asia	Austria	#C49A00
4.10005817280784	#F8766D	1.796	78.0780487804878	Australia	East Asia & Pacific	Australia	#F8766D
2.12812886900459	#53B400	2.021	73.5894390243902	Aruba	Latin America & Caribbean	Aruba	#53B400
3.36661636583168	#C49A00	2.06	64.994	Azerbaijan	Europe & Central Asia	Azerbaijan	#C49A00
2.91463844895182	#C49A00	1.518	69.7141951219512	Bosnia and Herzegovina	Europe & Central Asia	Bosnia and Herzegovina	#C49A00
2.24489229977617	#53B400	1.667	75.0426341463415	Barbados	Latin America & Caribbean	Barbados	#53B400
7.43150062135622	#A58AFF	3.589	62.6621219512195	Bangladesh	South Asia	Bangladesh	#A58AFF
3.56353076412718	#C49A00	1.55	77.1873170731707	Belgium	Europe & Central Asia	Belgium	#C49A00
3.58008776605743	#FB61D7	6.495	49.1594390243902	Burkina Faso	Sub-Saharan Africa	Burkina Faso	#FB61D7
3.41853052130011	#C49A00	1.24	70.8973170731707	Bulgaria	Europe & Central Asia	Bulgaria	#C49A00
2.36891627879608	#00C094	2.994	73.280243902439	Bahrain	Middle East & North Africa	Bahrain	#00C094
3.23030598831394	#FB61D7	6.233	44.7584146341463	Burundi	Sub-Saharan Africa	Burundi	#FB61D7
3.21867522167145	#FB61D7	6.282	51.324512195122	Benin	Sub-Saharan Africa	Benin	#FB61D7
2.26321722677578	#F8766D	2.798	75.2239268292683	Brunei Darussalam	East Asia & Pacific	Brunei Darussalam	#F8766D
3.37048721190763	#53B400	4.482	61.4872926829268	Bolivia	Latin America & Caribbean	Bolivia	#53B400
8.29470340605866	#53B400	2.474	68.7315609756098	Brazil	Latin America & Caribbean	Brazil	#53B400
2.25444763390348	#53B400	2.443	70.3480487804878	Bahamas, The	Latin America & Caribbean	Bahamas, The	#53B400
